Bundler,Submission Latency (ms),On-Chain Latency (ms),Total Latency (ms),Tx Hash
pimlico,185,1875,2060,0xab0ef93e3cb027dcff00621feca10d415cfe6bb82e260094a5df938efc1a76b5
pimlico,178,2638,2816,0x6c00eff927480f329c939b30746f44603195e505f930a206a223812070359efb
pimlico,147,1345,1492,0x929d77b86ad79a4cc4bf95ef45a3e2877ed6f1dc4b178ff6f0c398f80f7478be
pimlico,167,1920,2087,0xcc341f4f5f369f5bd41b2776615a7c601931bd35a28762b98a4348dd78932602
pimlico,177,2603,2780,0xc8da7b21735563a6f597c14f952589ad58adb51013ccf6f1cb3c1f02125e4f5b
pimlico,150,3282,3432,0x63a28b465461b00f643f1246e9b40d37e03f5c2d67807281a1e646a4dd12b2cf
pimlico,182,2037,2219,0xcf40f055aaadd46ae4f0863c30cf19c8c9f8bf379bd090849e232a2632fb4e06
pimlico,178,2561,2739,0x775f66a7d86da31fbc03c8054f170fddcf8325d4659025e40b06e4c658812fb7
pimlico,167,3307,3474,0xff3d2810cc0e60cc34556d4aca42e33f0762dfadb2e904444da9e636f1f23ca6
pimlico,175,1782,1957,0x1dc657a343a0205c3d36afc7c0f4083f694e09fba527312e24dc17aebccba364
pimlico,163,2535,2698,0xdfdc82fb8011a87b06a8e30dfc09adf2f80fd7e3128c0d8ed50c09ba4daa4b24
pimlico,155,3271,3426,0x84db8046f7067ba049c84d273dae4e656a909322453a2ee2c716fa2162390931
pimlico,157,2021,2178,0x19f862d931dbed09e07cf1cfb209b248c005c84d655825bd715e1867055c61ec
pimlico,168,2679,2847,0x477205ea5d3aa19739277f88364199f4d543b243dc013652faa17a1ca30ba013
pimlico,153,3347,3500,0x52915274a681c6e03cad4c0a3c586c678b8658a8d3bb62586f0c101d218bfc4e
pimlico,158,1996,2154,0x7b22d86adb4c15a811fdea614ad7477f54d0c70b1c535e77881e3100c1b65b7a
pimlico,145,2655,2800,0xb88f365b8db54781e5b043a9b5b1dd1ba5b182cd965f3f9fffaa5b79df7f0f85
pimlico,162,3439,3601,0xa90e73e0b67173b0dccd2fda41e2bea1d3e326d015e38a566160544861c1a803
pimlico,149,2106,2255,0xa4a29027edc12bb465be4011b314b00aa9115a590d025ced4e8735e649e9a26e
pimlico,166,2927,3093,0x283785771479ec5f579c91db41efe71cfd45f416f3e4f7133e9b117bf8bbbb7c
pimlico,161,3600,3761,0xbee7603a1651ec17491285a833047683c020204877451d2036c88da662352d38
pimlico,168,3994,4162,0xa119391a3e55c9271a2b6a91ec023f439eb60385e116042d7e874536b78d02c4
